subject_id,study,Cohort,Race,Gender,First-Generation,bedtime_mssd,total_sleep_time,midpoint_sleep,frac_nights_with_data,daytime_sleep,Cumulative GPA,End-of-term GPA,term_units,Relative Course Load,time_collection,University
185,5,lac1,Non-underrepresented,Female,Non-first gen,0.116726948,432.2,458.66,0.862068966,24.16,3,3.38,73,4.055294859,"Spring, 2018",CMU
158,5,lac1,Underrepresented,Female,Non-first gen,0.141680839,391.9310345,364.4655172,1,13.13793103,3.66,2.6,64,2.482534122,"Spring, 2018",CMU
209,5,lac1,Non-underrepresented,Female,Non-first gen,1.529289486,344.3043478,560.8913043,0.793103448,14.95652174,3.57,3.07,63,2.30778293,"Spring, 2018",CMU
102,5,lac1,Underrepresented,Female,First-gen,0.130148455,392.6206897,416.4827586,1,54.55172414,3.61,3.56,61,1.958280544,"Spring, 2018",CMU
174,5,lac1,Non-underrepresented,Female,Non-first gen,0.130180898,423.4210526,368.7631579,0.655172414,10.52631579,3.21,4,61,1.958280544,"Spring, 2018",CMU
184,5,lac1,Non-underrepresented,Female,Non-first gen,0.209483025,397.4,353.58,0.862068966,22.36,3.2,3.36,60,1.783529351,"Spring, 2018",CMU
255,5,lac1,Non-underrepresented,Female,Non-first gen,0.675488988,348.5925926,434.7037037,0.931034483,20.51851852,3.4,3.19,60,1.783529351,"Spring, 2018",CMU
265,5,lac1,Non-underrepresented,Female,Non-first gen,0.129621959,422.1111111,414.8333333,0.931034483,17.03703704,3.86,3.28,60,1.783529351,"Spring, 2018",CMU
343,5,lac1,Non-underrepresented,Male,Non-first gen,1.476978738,454.3214286,423.8214286,0.965517241,52.67857143,3.79,3.5,60,1.783529351,"Spring, 2018",CMU
137,5,lac1,Non-underrepresented,Female,Non-first gen,0.085000354,308.9655172,334.7931034,1,85.48275862,3.53,2.55,59,1.608778158,"Spring, 2018",CMU
279,5,lac1,Non-underrepresented,Female,Non-first gen,0.168517574,314.5862069,479.362069,1,21.4137931,3.61,3.49,59,1.608778158,"Spring, 2018",CMU
